Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,Sim.Pin,Sim.Device,Sim.Pins
BZ1,1,Buzzer,MagneticBuzzer_ProSignal_ABI-009-RC,,,,tht,"Buzzer, polarized",,,
C1,1,470u,CP_Elec_10x10,,,,smt,Polarized capacitor,,,
C2,1,470u / 25V,CP_Elec_10x10,,,,smt,Polarized capacitor,,,
C5,1,22n,C_Rect_L7.0mm_W4.5mm_P5.00mm,,,,tht,Unpolarized capacitor,,,
C6,1,10u,C_Rect_L9.0mm_W2.6mm_P7.50mm_MKT,,,,tht,Unpolarized capacitor,,,
D1,1,W01G,Diode_Bridge_Round_D9.8mm,,,,tht,"Glass Passivated Single-Phase Bridge Rectifier, 70V Vrms, 1.5A If, WOG package",,,
D2,1,Power,LED_D3.0mm,,,,tht,"Light emitting diode, small symbol",1=K 2=A,,
D3,1,D_Schottky,D_DO-15_P12.70mm_Horizontal,,,,tht,Schottky diode,,,
D4,1,1N4148,D_A-405_P10.16mm_Horizontal,,,,tht,Diode,,D,1=K 2=A
D5,1,D,D_A-405_P10.16mm_Horizontal,,,,tht,Diode,,D,1=K 2=A
D6,1,MBRS340,D_SMC,,,,smt,"40V 3A Schottky Barrier Rectifier Diode, SMC (DO-214AB)",,,
F1,1,Polyfuse 2A,Fuse_Littelfuse-LVR200,,,,tht,"Resettable fuse, polymeric positive temperature coefficient",,,
J1,1,GPIO,PinSocket_2x20_P2.54mm_Vertical,,,,tht,"Generic connector, double row, 02x20, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",,,
J2,1,RS232,PinSocket_1x04_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x04, script generated",,,
J3,1,"Ext. Power max,. 9V DC/AC",BarrelJack_GCT_DCJ200-10-A_Horizontal,,,,tht,"coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)",,,
J4,1,Mini-DIN-6,J_Mini-DIN-6,,,,tht,6-pin Mini-DIN connector,,,
J5,1,to Testpins 22(DM) and TP23(DP),PinHeader_1x02_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated",,,
J6,1,USB_A,USB_A_Stewart_SS-52100-001_Horizontal,,,,tht,USB Type A connector,,,
J7,1,Z80-MBC2 direct,PinHeader_1x04_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x04, script generated",,,
J8,1,LCD Power,PinHeader_1x02_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated",,,
J9,1,On / Off,PinHeader_1x02_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated",,,
K1,1,G5V-2,Relay_DPDT_Omron_G5V-2,,,,tht,Relay Miniature Omron DPDT,,,
L1,1,47u,L_Fastron_PISN,,,,smt,Inductor with ferrite core,,,
"Q1, Q2",2,BC546,TO-92_Wide,,,,tht,"0.1A Ic, 45V Vce, Small Signal NPN Transistor, TO-92",,,
R1,1,470,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,,,tht,Resistor,,,
R10,1,10,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,,,tht,Resistor,,,
R2,1,820,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,,,tht,Resistor,,,
R3,1,1.5k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,,,tht,Resistor,,,
R4,1,1k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,,,tht,Resistor,,,
R5,1,12k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,,,smt,Resistor,,,
R6,1,"3,9k",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,,,smt,Resistor,,,
R7,1,120,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,,,tht,Resistor,,,
R8,1,150,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,,,tht,Resistor,,,
R9,1,15k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,,,tht,Resistor,,,
U1,1,LM2576HVS-ADJ,TO-263-5_TabPin3,,,,smt,"Adjustable Output Voltage, 3A SIMPLE SWITCHER® Step-Down Voltage Regulator, High Voltage Input, TO-263",,,
